    绊按疙     扁瞒开 档馒矫埃  措扁矫埃       扁瞒 啪铰矫埃     格利瘤 档馒矫埃
  绊按2002                   0         1                   2                  30
  绊按2001                   0         2                   5                  21
  绊按2005                   0         4                   5                  50
  绊按2003                   0         4                   8                  61
  绊按2007                   1         5                   8                  52
  绊按2004                   0         3                   8                  40
  绊按2008                   1         7                  11                  60
  绊按2009                   3         6                  11                  40
  绊按2010                   3         7                  14                  39
  绊按2012                   5         6                  14                  56
  绊按2006                   1         3                  14                  49
  绊按2011                   5         3                  14                  63
  绊按2014                   7         8                  17                  52
  绊按2015                   7         8                  17                  39
  绊按2013                   7         6                  17                  62
  绊按2018                  10         6                  17                  42
  绊按2016                   7        10                  20                  35
  绊按2019                  10         8                  20                  49
  绊按2021                  13         7                  23                  52
  绊按2022                  15         4                  23                  45
  绊按2020                  10         8                  23                  66
  绊按2023                  15         9                  26                  69
  绊按2017                   7        10                  26                  70
  绊按2024                  15         8                  26                  49
  绊按2027                  19         6                  26                  61
  绊按2025                  19         6                  29                  60
  绊按2028                  19         8                  29                  74
  绊按2026                  19         6                  29                  72
  绊按2030                  20         7                  29                  44
  绊按2031                  22         6                  32                  75
  绊按2032                  22         7                  32                  48
  绊按2033                  25         5                  32                  67
  绊按2034                  25         6                  32                  64
  绊按2035                  25         7                  35                  76
  绊按2029                  19         8                  35                  51
  绊按2036                  25         7                  35                  71
  绊按2038                  28         7                  38                  83
  绊按2040                  30         6                  38                  58
  绊按2037                  25         9                  38                  73
  绊按2039                  29         7                  41                  64
  绊按2041                  35         3                  41                  57
  绊按2043                  35         3                  41                  53
  绊按2044                  35         6                  44                  66
  绊按2045                  35         5                  44                  86
  绊按2046                  37         4                  44                  93
  绊按2047                  40         3                  44                  67
  绊按2049                  42         3                  47                  78
  绊按2048                  41         2                  47                  89
  绊按2042                  35         4                  50                  82
  绊按2050                  42         5                  53                  94
